detector type,Keypoint detection time(ms),detected points,ROI points,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points
HARRIS,31.1521,339,52,FREAK,52.2755,NA,NA,NA,NA
HARRIS,28.7235,286,40,FREAK,49.5191,MAT_BF,SEL_KNN,0.291522,19
HARRIS,25.7662,349,63,FREAK,48.574,MAT_BF,SEL_KNN,0.269427,3
HARRIS,26.4896,356,57,FREAK,57.001,MAT_BF,SEL_KNN,0.314827,11
HARRIS,27.6547,521,83,FREAK,47.7825,MAT_BF,SEL_KNN,0.419303,9
HARRIS,145.241,2611,317,FREAK,48.7554,MAT_BF,SEL_KNN,1.69366,14
HARRIS,23.0692,200,37,FREAK,47.4409,MAT_BF,SEL_KNN,0.897698,35
HARRIS,36.3346,806,135,FREAK,48.3914,MAT_BF,SEL_KNN,0.41536,2
HARRIS,30.0395,572,99,FREAK,50.31,MAT_BF,SEL_KNN,1.36612,29
HARRIS,74.6046,1471,194,FREAK,51.9441,MAT_BF,SEL_KNN,1.27804,12
HARRIS,23.6807,339,52,BRIEF,0.502426,NA,NA,NA,NA
HARRIS,23.5099,286,40,BRIEF,0.606277,MAT_BF,SEL_KNN,0.250494,23
HARRIS,24.9378,349,63,BRIEF,0.633618,MAT_BF,SEL_KNN,0.167956,12
HARRIS,26.6385,356,57,BRIEF,0.520869,MAT_BF,SEL_KNN,0.210212,19
HARRIS,27.316,521,83,BRIEF,0.578454,MAT_BF,SEL_KNN,0.241922,13
HARRIS,144.154,2611,317,BRIEF,1.29418,MAT_BF,SEL_KNN,0.952978,11
HARRIS,25.1895,200,37,BRIEF,0.482195,MAT_BF,SEL_KNN,0.547053,41
HARRIS,36.6186,806,135,BRIEF,0.734532,MAT_BF,SEL_KNN,0.25238,6
HARRIS,28.658,572,99,BRIEF,0.943573,MAT_BF,SEL_KNN,0.529847,28
HARRIS,62.3059,1471,194,BRIEF,0.920255,MAT_BF,SEL_KNN,0.704624,22
HARRIS,27.6088,339,52,ORB,0.96791,NA,NA,NA,NA
HARRIS,27.4419,286,40,ORB,0.840342,MAT_BF,SEL_KNN,0.171707,21
HARRIS,25.2663,349,63,ORB,0.938236,MAT_BF,SEL_KNN,0.182417,9
HARRIS,26.0579,356,57,ORB,1.23228,MAT_BF,SEL_KNN,0.2526,22
HARRIS,29.4018,521,83,ORB,0.948836,MAT_BF,SEL_KNN,0.376626,14
HARRIS,141.989,2611,317,ORB,1.33783,MAT_BF,SEL_KNN,0.947401,8
HARRIS,27.8131,200,37,ORB,0.964676,MAT_BF,SEL_KNN,0.616494,45
HARRIS,34.8241,806,135,ORB,1.08288,MAT_BF,SEL_KNN,0.274976,3
HARRIS,28.5127,572,99,ORB,1.54087,MAT_BF,SEL_KNN,0.635327,29
HARRIS,62.5597,1471,194,ORB,1.16994,MAT_BF,SEL_KNN,0.797032,21
HARRIS,26.2748,339,52,SIFT,18.5009,NA,NA,NA,NA
HARRIS,23.281,286,40,SIFT,20.2709,MAT_BF,SEL_KNN,0.188787,17
